iter	Passed	Remaining
0	303	303670
1	305	152361
2	306	101819
3	308	76697
4	309	61505
5	309	51344
6	310	44102
7	311	38679
8	312	34447
9	313	31053
10	314	28282
11	315	25963
12	316	24002
13	317	22336
14	317	20879
15	318	19616
16	320	18506
17	321	17526
18	322	16653
19	323	15849
20	324	15117
21	325	14462
22	326	13854
23	326	13294
24	327	12780
25	328	12304
26	329	11864
27	330	11455
28	330	11082
29	331	10728
30	332	10400
31	333	10091
32	334	9804
33	335	9539
34	337	9295
35	338	9058
36	339	8828
37	340	8607
38	340	8398
39	341	8201
40	342	8014
41	343	7836
42	344	7671
43	345	7510
44	346	7352
45	347	7204
46	348	7067
47	349	6930
48	351	6820
49	352	6701
50	353	6579
51	354	6463
52	355	6353
53	356	6245
54	357	6141
55	358	6040
56	359	5943
57	360	5850
58	361	5760
59	362	5672
60	363	5588
61	363	5505
62	364	5425
63	366	5364
64	367	5289
65	368	5216
66	369	5148
67	370	5078
68	371	5010
69	372	4948
70	373	4888
71	374	4826
72	375	4767
73	376	4712
74	377	4655
75	378	4602
76	379	4547
77	381	4505
78	382	4457
79	383	4405
80	383	4355
81	384	4306
82	385	4254
83	385	4207
84	386	4162
85	387	4119
86	388	4077
87	389	4036
88	390	3996
89	391	3956
90	392	3918
91	393	3881
92	394	3846
93	395	3815
94	396	3781
95	397	3745
96	398	3709
97	399	3674
98	399	3640
99	400	3607
100	401	3575
101	402	3544
102	403	3513
103	404	3483
104	405	3454
105	406	3426
106	407	3399
107	408	3372
108	409	3346
109	411	3328
110	412	3303
111	413	3278
112	414	3252
113	415	3227
114	416	3203
115	417	3179
116	418	3154
117	418	3131
118	419	3109
119	420	3085
120	421	3064
121	422	3040
122	423	3018
123	425	3002
124	426	2984
125	427	2966
126	428	2944
127	429	2925
128	430	2905
129	431	2886
130	432	2867
131	433	2849
132	434	2830
133	435	2811
134	436	2793
135	436	2775
136	437	2757
137	438	2740
138	440	2728
139	441	2712
140	442	2695
141	443	2676
142	443	2660
143	444	2644
144	445	2628
145	446	2613
146	447	2597
147	448	2582
148	449	2566
149	450	2551
150	450	2535
151	451	2520
152	452	2505
153	453	2490
154	454	2478
155	455	2464
156	456	2451
157	457	2437
158	458	2424
159	459	2411
160	459	2396
161	460	2383
162	461	2369
163	462	2357
164	463	2344
165	464	2331
166	465	2319
167	465	2307
168	466	2294
169	467	2282
170	468	2271
171	470	2265
172	471	2253
173	472	2241
174	473	2230
175	474	2220
176	475	2209
177	476	2199
178	477	2188
179	478	2177
180	479	2167
181	480	2157
182	480	2146
183	481	2136
184	482	2126
185	483	2117
186	485	2109
187	486	2099
188	486	2089
189	487	2079
190	488	2070
191	489	2060
192	490	2050
193	491	2041
194	492	2031
195	493	2022
196	493	2013
197	494	2004
198	495	1995
199	496	1986
200	497	1977
201	498	1969
202	499	1962
203	500	1954
204	501	1945
205	502	1937
206	503	1929
207	504	1921
208	505	1913
209	506	1904
210	507	1896
211	508	1888
212	509	1880
213	510	1873
214	510	1865
215	511	1858
216	513	1851
217	513	1843
218	514	1836
219	515	1828
220	516	1821
221	517	1813
222	518	1806
223	519	1799
224	520	1792
225	521	1785
226	522	1778
227	523	1770
228	523	1763
229	524	1757
230	525	1750
231	526	1744
232	528	1740
233	529	1734
234	530	1728
235	531	1721
236	532	1715
237	533	1709
238	534	1702
239	535	1696
240	536	1690
241	537	1684
242	538	1677
243	539	1671
244	540	1666
245	542	1662
246	543	1657
247	544	1651
248	545	1645
249	546	1639
250	547	1633
251	548	1627
252	549	1623
253	550	1617
254	551	1612
255	552	1606
256	554	1602
257	555	1596
258	556	1591
259	557	1586
260	558	1582
261	559	1577
262	561	1572
263	562	1566
264	563	1561
265	564	1556
266	565	1551
267	565	1545
268	567	1540
269	568	1537
270	569	1532
271	571	1529
272	572	1524
273	574	1521
274	575	1518
275	577	1513
276	578	1509
277	579	1504
278	580	1499
279	581	1494
280	582	1490
281	583	1485
282	584	1481
283	586	1479
284	588	1476
285	589	1472
286	590	1467
287	591	1463
288	592	1458
289	593	1453
290	594	1448
291	595	1444
292	596	1440
293	597	1435
294	598	1430
295	599	1426
296	601	1423
297	603	1420
298	604	1417
299	605	1412
300	606	1408
301	607	1404
302	608	1399
303	609	1395
304	610	1390
305	611	1386
306	612	1382
307	613	1377
308	614	1374
309	616	1372
310	618	1369
311	619	1365
312	620	1361
313	621	1357
314	622	1352
315	623	1348
316	624	1345
317	625	1340
318	626	1336
319	627	1332
320	628	1328
321	629	1326
322	631	1323
323	633	1321
324	634	1317
325	635	1313
326	636	1309
327	637	1305
328	638	1301
329	639	1298
330	640	1294
331	641	1290
332	642	1286
333	643	1283
334	645	1280
335	646	1277
336	648	1274
337	649	1271
338	649	1267
339	650	1263
340	651	1259
341	652	1256
342	653	1252
343	654	1248
344	655	1244
345	656	1240
346	657	1237
347	659	1235
348	660	1231
349	662	1229
350	663	1226
351	664	1222
352	665	1219
353	665	1215
354	666	1211
355	667	1208
356	668	1204
357	669	1201
358	670	1197
359	671	1193
360	672	1191
361	674	1188
362	676	1186
363	677	1183
364	678	1180
365	679	1176
366	680	1173
367	681	1169
368	681	1166
369	682	1162
370	683	1159
371	684	1155
372	685	1152
373	686	1149
374	688	1147
375	689	1144
376	690	1141
377	692	1138
378	692	1135
379	693	1131
380	694	1128
381	695	1125
382	696	1122
383	697	1118
384	698	1115
385	699	1112
386	699	1108
387	700	1105
388	702	1103
389	704	1101
390	705	1098
391	706	1095
392	707	1092
393	708	1089
394	709	1086
395	710	1083
396	711	1080
397	712	1077
398	712	1073
399	713	1070
400	714	1067
401	716	1065
402	717	1062
403	718	1060
404	719	1057
405	720	1054
406	721	1051
407	722	1048
408	723	1045
409	724	1042
410	724	1038
411	725	1035
412	726	1032
413	727	1029
414	728	1026
415	728	1023
416	729	1020
417	731	1018
418	732	1015
419	733	1013
420	734	1010
421	735	1007
422	736	1004
423	737	1001
424	738	998
425	738	995
426	739	992
427	740	989
428	741	986
429	741	983
430	742	980
431	743	977
432	744	975
433	746	973
434	748	971
435	749	969
436	750	966
437	750	963
438	751	960
439	752	957
440	753	955
441	754	952
442	755	949
443	755	946
444	756	943
445	757	941
446	758	938
447	759	935
448	760	933
449	761	931
450	762	928
451	763	926
452	764	923
453	765	920
454	766	918
455	767	915
456	768	913
457	769	910
458	770	907
459	771	905
460	772	902
461	773	900
462	774	897
463	776	896
464	777	894
465	778	891
466	778	888
467	779	886
468	780	883
469	781	881
470	782	878
471	783	876
472	784	873
473	785	871
474	786	868
475	786	866
476	787	863
477	788	861
478	789	858
479	790	856
480	791	854
481	792	851
482	793	849
483	794	847
484	795	844
485	796	842
486	797	839
487	798	837
488	798	834
489	799	832
490	800	829
491	801	827
492	802	824
493	802	822
494	803	820
495	804	817
496	805	815
497	806	813
498	807	810
499	808	808
500	809	806
501	810	803
502	811	801
503	812	799
504	813	797
505	814	794
506	814	792
507	815	790
508	816	787
509	817	785
510	818	783
511	819	781
512	820	779
513	821	776
514	822	774
515	823	772
516	824	770
517	825	767
518	826	765
519	827	763
520	828	761
521	828	759
522	829	756
523	830	754
524	831	752
525	832	750
526	833	748
527	834	746
528	835	744
529	836	742
530	837	739
531	838	737
532	839	735
533	840	733
534	841	731
535	842	729
536	843	727
537	844	724
538	844	722
539	845	720
540	846	718
541	847	716
542	848	714
543	850	712
544	850	710
545	851	708
546	852	706
547	853	704
548	854	702
549	855	699
550	856	697
551	857	695
552	858	693
553	859	691
554	859	689
555	860	687
556	861	685
557	862	683
558	864	681
559	865	679
560	865	677
561	866	675
562	867	673
563	868	671
564	869	669
